Grados,Minutos,Segundos
209.0,47.0,0.0
208.0,54.0,30.0
208.0,47.0,0.0
208.0,24.0,30.0
208.0,2.0,30.0
207.0,50.0,30.0
207.0,48.0,0.0
206.0,24.0,0.0
205.0,0.0,0.0
204.0,16.0,30.0
