Grados,Minutos,Segundos
209.0,22.0,0.0
208.0,55.0,0.0
208.0,45.0,0.0
208.0,9.0,0.0
207.0,32.0,0.0
206.0,50.0,0.0
206.0,30.0,0.0
206.0,1.0,0.0
205.0,45.0,0.0
205.0,10.0,0.0
